"artist","theme_id","theme_title","date","theme_source","institution","theme_source_sentence"
"2","T11","Feminism","2026","IT07","1","Laurel Nakadate (born 1975) is an American feminist video artist, filmmaker, and photographer."
"2","T09","Racial Visibility","2026","IT07","1","Laurel Nakadate (born 1975) is an American feminist video artist, filmmaker, and photographer. She is based in New York City."
"3","T11","Feminism","2026","IT08","1","Mequitta Ahuja (born 1976) is a contemporary American feminist painter of African American and South Asian descent who lives in Baltimore, Maryland."
"3","T12","Multiethnicity","2026","IT08","1","Mequitta Ahuja (born 1976) is a contemporary American feminist painter of African American and South Asian descent who lives in Baltimore, Maryland. Ahuja creates works of self-portraiture that combine themes of myth and legend with personal identity."
"3","T16","Self-Portraiture","2026","IT08","1","Ahuja creates works of self-portraiture that combine themes of myth and legend with personal identity."
"4","T12","Multiethnicity","1993","IT09","1","Of Cantonese, English, Irish, and Welsh descent, Kip Fulbeck addresses the transforming hapa experience through autobiographical tales, his bitterly funny stories exposing sources of racism, sexism, and symbolic domination within suburban America."
"4","T13","Classification","1993","IT09","1","Beginning with the question What do you check on the ethnicity box? he attacks the prevalent attitudes about where hapas 'fit in' in a country which often ignores multi-raciality. In work that is often placed under the amorphous new genres umbrella, Fulbeck exposes the limitations of contemporary artistic categorization as well as ethnicity classification."
"4","T12","Multiethnicity","2013","IT10","","War Baby / Love Child examines hybrid Asian American identity through a collection of essays, artworks, and interviews at the intersection of critical mixed race studies and contemporary art. The book pairs artwork and interviews with 19 emerging, mid-career, and established mixed race/mixed heritage Asian American artists."
"4","T13","Classification","2013","IT10","","As an increasingly ethnically ambiguous Asian American generation is coming of age in an era of 'optional identity,' this collection brings together first-person perspectives and a wider scholarly context to shed light on changing Asian American cultures."
"4","T05","Belonging","1993","IT09","1","Fulbeck's rhythmic monologues, anecdotes, and snapshot imagery take the viewer through childhood fights and adult dilemmas, and question ethnic dating patterns and media depictions of Asian men, all the while documenting a family life richly colored by the Chinese language and culture of his mother's family and the vernacular language and culture of Southern California."
"5","T14","Internment","2026","IT11","0","Born on a farm in Southern California, Asawa began her arts education when she was a teenager and she and her family were among the thousands of persons of Japanese descent who were forcibly incarcerated by the US government during World War II. It was at the internment camp that Asawa began taking classes in painting and drawing."
"5","T14","Internment","2026","IT12","1","As the child of Japanese immigrants living in California, Ruth Asawa was placed in an internment camp for several years during World War II. Because of lingering discrimination after the war and bleak job prospects, Asawa abandoned her pursuit of a teaching degree."
"5","T14","Internment","2026","IT13","1","In 1942, her family was separated when they were sent to different Japanese internment camps as a result of isolation policies for Japanese-Americans mandated by the U.S. government during World War II. At Rohwer War Relocation Center in Arkansas, Asawa learned drawing from illustrators interned at the camp."
"5","T08","Ancestry","2026","IT13","1","Born in Norwalk, California in 1926, Asawa was the fourth of seven children born to Japanese immigrants. She grew up on a truck farm. In 1942, her family was separated when they were sent to different Japanese internment camps as a result of isolation policies for Japanese-Americans mandated by the U.S. government during World War II."
"5","T10","Craft","2026","IT12","1","By repeating this one motion — with adjustments made for the weight of the material or the space between loops — Asawa created undulating, voluminous forms. 'The shape comes out working with the wire,' she explained. 'You don't think ahead of time, this is what I want. You make the line, a two-dimensional line, then you go into space, and you have a three-dimensional piece.'"
"5","T13","Classification","2026","IT11","0","It doesn't bother me. Whether it's a craft or whether it's art. That is a definition that people put on things. And what I like is the material is irrelevant. It's just that that happens to be material that I use."
"6","T15","Displacement","2026","IT14","1","Suh is well known for re-creating architectural structures and objects using fabric in what the artist describes as an 'act of memorialization.' His use of fabric and paper functioning like a 'second skin' makes it possible for his pieces to be folded up and transported."
"6","T05","Belonging","2026","IT14","1","His material choices of rice paper, and fabric commonly found in hanbok also refer to traditional Korean art and architecture. Suh pays particular attention to the site-specificity of the work, and sensorial experience of the viewer engaging with his pieces while moving in the exhibition space."
"6","T07","Inherited Identity","2026","IT14","1","Suh is well known for re-creating architectural structures and objects using fabric in what the artist describes as an 'act of memorialization' — exemplified by one of his most famous works Seoul Home...(1999), for which he recreated his childhood home using polyester and silk."
"5","T10","Craft","1959","W67","1","Asawa has created the feeling of the knot drawings with a large, very wet inked brush. She's using a sumi ink on a thin paper, and you can see a lot of rippling and distortions in the paper that hint to what the materials were that she was using. As the ink's dried, the water evaporated, leaving little particles of ink across the surface, which also suggest the textured surface of the sycamore tree."
"5","T10","Craft","1959","W67","1","You can also get a sense of the movement of Asawa's hand as she created these circular forms throughout the trunk. As she moved towards the edges of the sheet, she used stronger gestures and splashed the ink so that they moved off the edges to the center left and to the right, giving that sense of the branching and maybe leaves of this sycamore tree."
"5","T10","Craft","1951","W69","1","To create this work, Asawa took an ordinary potato about the size of the palm of her hand, sliced it in half to give her a flat surface. Into the surface of this flat potato, she incised a tree-like form with a center trunk topped by a loop. The potato would have been dipped in purple or blue ink and Asawa pressed it to the paper in a repeated pattern across the page, allowing the ink to deplete over the course of the row, resulting in layers of transparent blue and purple ink."
"5","T10","Craft","1951","W69","1","Asawa did not re-ink the potato as she moved across the row, so the ink would become lighter and lighter as she moved across. And in some cases, only the outline of the tree form was left. This really gives you a play of positive and negative space and transparency, which reflects her practice in other works of art."
"2","T01","Grief","2009","W07","1","Young person sleeping on side in bed, clutching a small stuffed toy under a blanket."
"6","T15","Displacement","2002","W72","1","A small person walks while a large green floating house hovers above."
"6","T05","Belonging","2001","W73","1","A large metallic robe sculpture with long flared train displayed in a museum lobby."
